Strain,Replicate,day,Fluor,NonFluor,fracNonFluor
1,10,4,8083.333333,2250,0.217741935
2,10,4,5166.666667,3516.666667,0.404990403
3,10,4,6716.666667,2316.666667,0.256457565
4,10,4,7433.333333,1550,0.172541744
5,10,4,9333.333333,5466.666667,0.369369369
6,10,4,9916.666667,4566.666667,0.315304948
1,2,4,8083.333333,2250,0.217741935
2,2,4,5166.666667,3516.666667,0.404990403
3,2,4,6716.666667,2316.666667,0.256457565
4,2,4,7433.333333,1550,0.172541744
5,2,4,9333.333333,5466.666667,0.369369369
6,2,4,9916.666667,4566.666667,0.315304948
1,3,4,1750,6433.333333,0.786150713
2,3,4,3800,5416.666667,0.587703436
3,3,4,2783.333333,6383.333333,0.696363636
4,3,4,5016.666667,4133.333333,0.451730419
5,3,4,5533.333333,3483.333333,0.386321627
6,3,4,6233.333333,3133.333333,0.334519573
1,4,4,8083.333333,2250,0.217741935
2,4,4,5166.666667,3516.666667,0.404990403
3,4,4,6716.666667,2316.666667,0.256457565
4,4,4,7433.333333,1550,0.172541744
5,4,4,9333.333333,5466.666667,0.369369369
6,4,4,9916.666667,4566.666667,0.315304948
1,5,4,1750,6433.333333,0.786150713
2,5,4,3800,5416.666667,0.587703436
3,5,4,2783.333333,6383.333333,0.696363636
4,5,4,5016.666667,4133.333333,0.451730419
5,5,4,5533.333333,3483.333333,0.386321627
6,5,4,6233.333333,3133.333333,0.334519573
1,6,4,8083.333333,2250,0.217741935
2,6,4,5166.666667,3516.666667,0.404990403
3,6,4,6716.666667,2316.666667,0.256457565
4,6,4,7433.333333,1550,0.172541744
5,6,4,9333.333333,5466.666667,0.369369369
6,6,4,9916.666667,4566.666667,0.315304948
1,7,4,1750,6433.333333,0.786150713
2,7,4,3800,5416.666667,0.587703436
3,7,4,2783.333333,6383.333333,0.696363636
4,7,4,5016.666667,4133.333333,0.451730419
5,7,4,5533.333333,3483.333333,0.386321627
6,7,4,6233.333333,3133.333333,0.334519573
1,8,4,8083.333333,2250,0.217741935
2,8,4,5166.666667,3516.666667,0.404990403
3,8,4,6716.666667,2316.666667,0.256457565
4,8,4,7433.333333,1550,0.172541744
5,8,4,9333.333333,5466.666667,0.369369369
6,8,4,9916.666667,4566.666667,0.315304948
1,9,4,1750,6433.333333,0.786150713
2,9,4,3800,5416.666667,0.587703436
3,9,4,2783.333333,6383.333333,0.696363636
4,9,4,5016.666667,4133.333333,0.451730419
5,9,4,5533.333333,3483.333333,0.386321627
6,9,4,6233.333333,3133.333333,0.334519573
